Item Id,Item Name,Price,Sales,Shop Name,Commission Rate,Commission,Product Link,Offer Link
41918688395,Ibumpers เกาหลีซิลิโคนเหลวนุ่มเคสโทรศัพท์สําหรับ IPhone 11 12 13 14 15 16 Pro Max IP 7 8 Plus X XS XR Xs Max Anti-สกปรกกันกระแทกปกหลังไม่มีซับกํามะหยี่,116,76,ibumpers.th,50%,฿58.00,https://shopee.co.th/product/955746786/41918688395,https://s.shopee.co.th/50WnS2XrDk
54606642996,ส่งจากไทย🚚ติดผนัง ที่เก็บแปรงแต่งหน้ากล่องใส่ของน่ารักชั้นวางของบนโต๊ะทํางานที่เก็บเครื่องเขียนบนเดส,138,77,EraKing.th,26%,฿35.88,https://shopee.co.th/product/1345631618/54606642996,https://s.shopee.co.th/5AqDeLXDsn
26978681487,[ส่วนลดส่วนลด] 2025 สไตล์ใหม่ซุปเปอร์ความจุขนาดใหญ่แก้วนักเรียนมูลค่าสูง อิน ถ้วยน้ําครัวเรือนทนอุณหภูมิสูงถ้วยพร้อมที่จับ,130,109,✨บ้านทิงเกอร์เบล✨,18%,฿23.40,https://shopee.co.th/product/1311370433/26978681487,https://s.shopee.co.th/4ftx3QZ7ti
42431358893,K&F Concept เคสป้องกันสําหรับ DJI Osmo Pocket 3/4 พร้อมช่องกรอง 4 ช่องรวมถึง 2 ช่องเลนส์ Telephoto PC Shell,399,5,JC_Camera.th,4%,฿15.96,https://shopee.co.th/product/425303945/42431358893,https://s.shopee.co.th/4qDNFjYUYl
44128510537,ทำความสะอาดฝุ่นโดยอัตโนมัติ ฟิล์มกระจก iphone สำหรับ11 15 14promax ติดง่าย แบบเต็มจอ HD 13/12/15plus/8/7plus/XR 16 17,80,62,Rabbit phone film shopฟิล์มกระ,76%,฿60.80,https://shopee.co.th/product/1174003804/44128510537,https://s.shopee.co.th/4LH6eoaOZg
28793712206,ไมค์ไร้สาย Mini 2-In-1ไมโครโฟนไร้สาย ตัดเสียงรบกว เสียบปลั๊กรีบใช้ ใช้ได้กับIos/Type-C ไมค์อัดเสียง ไมค์ไลฟ์สด,316,357,Time Hourglass,15%,฿47.40,https://shopee.co.th/product/955315834/28793712206,https://s.shopee.co.th/4VaWr7ZlEj
41481291750,⚡️พร้อมส่ง🇹🇭 สกุชชี่งานกล่อง งานสโลว์ Donkey  Roll/Chameleon/ Squishy ปังสโลว์ ของเล่นคลายเครียด ของเล่น สกุชชี่,299,50,DM SHOP ELECTRONIC,7%,฿20.93,https://shopee.co.th/product/41825328/41481291750,https://s.shopee.co.th/40eGGCbfFe
43270523922,ไฟไลฟ์สด LED 24 นิ้ว ขาตั้ง + ที่จับมือถือ ปรับแสง 3 สี รีโมท สตูดิโอ ไลฟ์ TikTok Shopee ครบชุด,268,136,BIG  SHOP,15%,฿40.20,https://shopee.co.th/product/1561752445/43270523922,https://s.shopee.co.th/4AxgSVb1uh
26481849649,พัดลมมือถือ ปรับระดับได้ 100 พัดลมไร้สา ระดับ ประคบเย็นและลดอุณหูมิลง จอแสดงผล LED  พัดลมพกพาไม่มีใบมีด ชาร์จใหม่ได้,199,60,CUPOLOGY-TH,25%,฿49.75,https://shopee.co.th/product/878429880/26481849649,https://s.shopee.co.th/3g1Pracvvc
43304958355,"TYESO 01-01022/23/24/25/26 600ML/750MTumbler พร้อมที่จับ,ขวดน้ําฉนวนสุญญากาศพร้อมฝาปิด 2-in-1 และฟาง,ถ้วยกาแฟสแตนเลสผนังคู่แก้วเดินทางป้องกันการรั่วพลิก",339,20พัน+,Tyeso Official Store,15%,฿50.85,https://shopee.co.th/product/1096039665/43304958355,https://s.shopee.co.th/3qKq3tcIaf
27691654401,"กทม. ส่งใน 2 ชม. ! I WHOOP Peak ,Life 5.0 & MG (ฟรี 12-Month Membership)–Health Fitness Wearable – 24/7 ActivityTracker",12.4พัน,1พัน+,PreEZ,4%,฿495.60,https://shopee.co.th/product/188036488/27691654401,https://s.shopee.co.th/3LOZSyeCba
48209976158,13 รูปแบบโยคะแถบคาดศีรษะยืดหยุ่นกีฬาคาดศีรษะวิ่งออกกําลังกาย ชม. หูฟัง คาดศีรษะคาดศีรษะ,173,10,Patagonia01,11%,฿19.03,https://shopee.co.th/product/1388633186/48209976158,https://s.shopee.co.th/3VhzfHdZGd
25776583854,Domira แพ็คเกจของขวัญ LEDโคมไฟตั้งโต๊ะ โคมไฟข้างเตียง โคมไฟตั้งโต๊ะแบบเสียบ USB หรี่แสงได้พร้อมฐานไม้,299,2พัน+,DOMIRA mall,10%,฿29.90,https://shopee.co.th/product/289231798/25776583854,https://s.shopee.co.th/30lj4MfTHY
53457103897,ชุดชามเซรามิก Snow ชุดใหม่สำหรับใช้ในครัวเรือน คุ้มค่า เหมาะสำหรับรับประทาน ชามข้าว จาน ชามโยเกิร์ต,49,384,TaiSheng Shop,10%,฿4.90,https://shopee.co.th/product/1657727430/53457103897,https://s.shopee.co.th/3B59Gfepwb
45957704286,Sipeau 5เเพ็ค กระดาษทิชชู่แบบแขวน หนาเป็นพิเศษ ทนน้ำ ใช้ได้ทั้งแบบดึงด้านล่างและแบบดึงด้านบน เหมาะสำหรับใช้ในบ้าน,89,9พัน+,โรงงานทิชชู่ ขายส่ง-ปลีก,10%,฿8.90,https://shopee.co.th/product/1069946726/45957704286,https://s.shopee.co.th/2g8sfkgjxW
44659560602,เคตเทิลเบลล์แบบนุ่ม kettlebell วัสดุพีวีซีนุ่ม 4/6/8/10kg สำหรับผู้เริ่มต้น ดัมเบลหูหิ้ว ลดเสียงรบกวน ยกน้ำหนักที่บ้าน,189,75,MEETIST,7%,฿13.23,https://shopee.co.th/product/1278808279/44659560602,https://s.shopee.co.th/2qSIs3g6cZ
45357284872,ใหม่ F16 ขาตั้งกล้องไม้เซลฟี่ไร้สาย 1.7m. พับได้มาพร้อมรีโมทบลูทูธ พิเศษสามารถใช้กล้องแอคชั่น Gopro สมาร์ทโฟนได้,275,63,KKiss&Beauty,30%,฿82.50,https://shopee.co.th/product/1749074300/45357284872,https://s.shopee.co.th/2LW2H8i0dU
54857018813,TYESO รุ่นใหม่ 2026 แก้วเก็บความเย็นลายดอกไม้ 900ML แก้วเก็บอุณหภูมิสแตนเลส พร้อมหลอด เก็บเย็น 24H ร้อน 12H,339,570,Tyeso Official Store,12.5%,฿42.38,https://shopee.co.th/product/1096039665/54857018813,https://s.shopee.co.th/2VpSTRhNIX
29520996304,👍ผ้าพลัฌจะนุ่มกว่า👍 1200ML โฟมซักแห้ง สเปรย์ทำความสะอาดตุ๊กตา ขจัดคราบอเนกประสง กลิ่นหอมยาวนาน 72 ชม,159,385,ZJW Mall,10%,฿15.90,https://shopee.co.th/product/507967469/29520996304,https://s.shopee.co.th/20tBsWjHJS
53007392902,Dreame Hair Glory Uni / Glory รองรับแรงดันไฟฟ้าทั่วโลก ไดร์เป่าผมความเร็วสูง เป่าแห้งไว ไอออนลบปกป้องเส้นผม,2.8พัน,73,Dreame Personal Care,5%,฿142.45,https://shopee.co.th/product/1776745878/53007392902,https://s.shopee.co.th/2BCc4pidyV
